dataset,source_file,quantity,summary_type,n,denominator,minimum,p05,q25,median,q75,p95,maximum,fraction,numerator,design_description,interpretation
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,SMI,descriptive_percentile_range,96,96,0.0198904472387786,0.030270519536932397,0.05552737086132925,0.08129476342646019,0.10246361541650588,0.18981001681214849,0.2606140385439706,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,Gamma_h_to_d,descriptive_percentile_range,96,96,0.6573387606475929,0.750608647101656,0.827205755126815,0.8699636158232411,0.9057999357001079,0.9458420610708036,0.957321928320585,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,Gamma_h_to_s,descriptive_percentile_range,96,96,0.0586450079806872,0.06233084956654333,0.07402116038395487,0.0794935878831637,0.08673241882259261,0.09964743923571853,0.1117592320381876,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,A_h_mV,descriptive_percentile_range,96,96,7.777798679025414,8.411398638102625,10.414164426310595,14.338569232514383,18.322284415784537,22.47708969760039,24.16238942474993,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,active_Gamma_h_to_d,descriptive_percentile_range,96,96,0.657035383527494,0.7508328006265539,0.8298274749177226,0.871891863400142,0.9070837006970475,0.9461103909050148,0.9575332355226218,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,active_Gamma_h_to_s,descriptive_percentile_range,96,96,0.060542403059666,0.0650932401111194,0.07638470607394197,0.08141087526554415,0.08940109836459445,0.10565785491788315,0.1126453901770323,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,active_A_h_mV,descriptive_percentile_range,96,96,7.940187983582501,8.603905953206322,10.598343452483673,14.79275839752572,18.906637575395216,23.257262727722466,26.336979007783103,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,dynamic_SMI_abs_50Hz,descriptive_percentile_range,96,96,0.0448993278114315,0.05763608697957135,0.1044680930450023,0.14957696479147914,0.2085141954166485,0.33072118282469454,0.5169305605837043,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,synaptic_conductance_scale,descriptive_percentile_range,96,96,0.5000016773791176,0.5423472963705737,0.7101387533914285,0.9964233912443393,1.413940271554254,1.8520163540758723,1.9885287778687235,,,deterministic Latin-hypercube sensitivity design,descriptive range across sampled parameter combinations; not a confidence interval
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,fraction_low_SMI,design_fraction,96,96,,,,,,,,0.9895833333333334,95,deterministic Latin-hypercube sensitivity design,fraction of sampled parameter combinations; not biological prevalence
phase05_global_uncertainty_N96,results/phase05/global_uncertainty_samples.csv,fraction_intermediate_SMI,design_fraction,96,96,,,,,,,,0.010416666666666666,1,deterministic Latin-hypercube sensitivity design,fraction of sampled parameter combinations; not biological prevalence
