path,before_sha256,after_sha256,status
configs/active_extension/baseline.toml,61a4444201e0bb60b815d87d70442bbe7b3d7aff9be3358bc5f95700557d5075,61a4444201e0bb60b815d87d70442bbe7b3d7aff9be3358bc5f95700557d5075,unchanged
configs/epilepsy_exploratory/baseline.toml,9db6e3424c5c146fb16c79623e3ef925375a7235b57bcf42e2f4e4a411928d00,9db6e3424c5c146fb16c79623e3ef925375a7235b57bcf42e2f4e4a411928d00,unchanged
configs/epilepsy_exploratory/scenarios.toml,bab13ab79516270826c43706be4f8711ced5cf75462d99bcd574ca290b2441bf,bab13ab79516270826c43706be4f8711ced5cf75462d99bcd574ca290b2441bf,unchanged
configs/manuscript_faithful/baseline.toml,40f2b001751cf20bbb7c5339b53f0a17716e08db6b76012ffe70c8c11bd0e115,40f2b001751cf20bbb7c5339b53f0a17716e08db6b76012ffe70c8c11bd0e115,unchanged
configs/plausibility_revised/baseline.toml,19ff66959ca8586d8aa6ba7886db4c84718093d5a003759baf7db5849c2b274b,19ff66959ca8586d8aa6ba7886db4c84718093d5a003759baf7db5849c2b274b,unchanged
figures/phase02/Figure1_architecture.svg,2e93bc139e5424f97caddee2743527b9cbaa82040b3b997123cdc482416db348,2e93bc139e5424f97caddee2743527b9cbaa82040b3b997123cdc482416db348,unchanged
figures/phase02/Figure2_high_trace.svg,bc5fa9a9228f5d2c0e6241375d5cf30bb69627d84bc5ab8eae070bd7345e6ac7,bc5fa9a9228f5d2c0e6241375d5cf30bb69627d84bc5ab8eae070bd7345e6ac7,unchanged
figures/phase02/Figure2_intermediate_trace.svg,6771c4ad3421f13dec3487563f5de3dac750e5e2ffcbd87c859bfab122bdeeda,6771c4ad3421f13dec3487563f5de3dac750e5e2ffcbd87c859bfab122bdeeda,unchanged
figures/phase02/Figure2_low_trace.svg,af37c5645e962d2814ef453194b831ef1f9b1a2e9931cc2cc10a22ad77bc2b46,af37c5645e962d2814ef453194b831ef1f9b1a2e9931cc2cc10a22ad77bc2b46,unchanged
figures/phase02/Figure3A_Gamma_hs_heatmap.svg,621a2be0eb4e4ce597d5cf5ed28ceae1cb095977c3915bcdaeacb5af5b95d78a,621a2be0eb4e4ce597d5cf5ed28ceae1cb095977c3915bcdaeacb5af5b95d78a,unchanged
figures/phase02/Figure3B_SMI_heatmap.svg,044a8278119147904ded01340b52783aa3f0d01ac304afcead0314622761321d,044a8278119147904ded01340b52783aa3f0d01ac304afcead0314622761321d,unchanged
figures/phase02/Figure3C_SMI_vs_Gamma_hs.svg,6911a3157e945b16fcd6022216c085d9410f5d9fc871f0432dc9faf974e2e070,6911a3157e945b16fcd6022216c085d9410f5d9fc871f0432dc9faf974e2e070,unchanged
figures/phase02/Figure3D_SMI_vs_Ah.svg,954b1533b483aa59aba07e6ecec37836f5e69e258701ce959db726c2cee469a7,954b1533b483aa59aba07e6ecec37836f5e69e258701ce959db726c2cee469a7,unchanged
figures/phase02/Figure4A_Rneck_vs_Gamma_hs.svg,30f4665bc815db0322c629766a6f658b9d548efb31414b3580786cc01af96280,30f4665bc815db0322c629766a6f658b9d548efb31414b3580786cc01af96280,unchanged
figures/phase02/Figure4B_SMI_vs_Gamma_hs.svg,d7709e251d6efec7c5aa21de3da44da900e82c753ef0141185c775a45e898a89,d7709e251d6efec7c5aa21de3da44da900e82c753ef0141185c775a45e898a89,unchanged
figures/phase02/Figure4C_SMI_vs_Ah.svg,57bfb8f3e759585e8982c414a5b8241746d118155c562eb29fa456daa4384b64,57bfb8f3e759585e8982c414a5b8241746d118155c562eb29fa456daa4384b64,unchanged
figures/phase02/convergence_dt_vs_Ah.svg,253da232eedfa1f1c06cd59893bca524565704d69e51eaf57072655bb276b1a9,253da232eedfa1f1c06cd59893bca524565704d69e51eaf57072655bb276b1a9,unchanged
figures/phase03/challenge_SMI_vs_Gamma_hd.svg,a23a1f8a1c22b4c6d522087abe38b24af4a8b2912ab83edc39757e3099ccf3be,a23a1f8a1c22b4c6d522087abe38b24af4a8b2912ab83edc39757e3099ccf3be,unchanged
figures/phase03/challenge_SMI_vs_Gamma_hs.svg,aeaf677b1e1110be670230b75ae96c6630f585891567d49450bb7f4f5cd64d50,aeaf677b1e1110be670230b75ae96c6630f585891567d49450bb7f4f5cd64d50,unchanged
figures/phase03/dynamic_SMI_spectrum.svg,5d2daa40368209f12f1e9de0738689b51358456f3fe39748d5abb67d01ac02e1,5d2daa40368209f12f1e9de0738689b51358456f3fe39748d5abb67d01ac02e1,unchanged
figures/phase03/impedance_Zin_spectrum.svg,cb35b6e29f1680823f3f8acec5ee388f23a67fcfc6a0e1587d0495213ce9f817,cb35b6e29f1680823f3f8acec5ee388f23a67fcfc6a0e1587d0495213ce9f817,unchanged
figures/phase03/neck_model_transfer.svg,7ce7e39716a90274a5578e6b1437a6d6221313792f6b259d6267018673aec810,7ce7e39716a90274a5578e6b1437a6d6221313792f6b259d6267018673aec810,unchanged
figures/phase03/predictor_Rin_vs_Gamma_hs.svg,71fc254c0ee7825f2f2e8378a6b505a98a3b40970518a127144912ea3b43140c,71fc254c0ee7825f2f2e8378a6b505a98a3b40970518a127144912ea3b43140c,unchanged
figures/phase03/spatial_convergence.svg,69157c1b74ccfa76dbbbda871347593a42a799c82414e0e5556d42337e051d94,69157c1b74ccfa76dbbbda871347593a42a799c82414e0e5556d42337e051d94,unchanged
figures/phase04/active_SMI_vs_Ah.svg,80bb719dc59167432b3899adf3117b0bbacb41a50799b95af94b3b40f849f4b1,80bb719dc59167432b3899adf3117b0bbacb41a50799b95af94b3b40f849f4b1,unchanged
figures/phase04/active_SMI_vs_Gamma_hd.svg,25e2a21a7e434a57b1b2b692a1770750d512ff090277430f538d6a0330ce71d7,25e2a21a7e434a57b1b2b692a1770750d512ff090277430f538d6a0330ce71d7,unchanged
figures/phase04/active_SMI_vs_Gamma_hs.svg,4b6180ad57c9695940eeb0046fe6f0a5cf52605e347c05c04924a03cdcca4d9d,4b6180ad57c9695940eeb0046fe6f0a5cf52605e347c05c04924a03cdcca4d9d,unchanged
figures/phase04/active_impedance_full_restrained.svg,fe0307390fcb2ee00ffeb4efd85e926e30445c8b7cee6aab2b1e85e22c71108c,fe0307390fcb2ee00ffeb4efd85e926e30445c8b7cee6aab2b1e85e22c71108c,unchanged
figures/phase04/active_predictor_gain_vs_Gamma_hs.svg,b27826613000d18538b1966fca5bb529e1359027b18d8f7644dfc9cfd92be1dc,b27826613000d18538b1966fca5bb529e1359027b18d8f7644dfc9cfd92be1dc,unchanged
figures/phase04/active_protocol_strength_sweep.svg,678aa94522a82093e591daf91941f0d62009d317fc5f5f7a9a89874132f7e506,678aa94522a82093e591daf91941f0d62009d317fc5f5f7a9a89874132f7e506,unchanged
figures/phase05/radius_class_stability.svg,b77199e239adb21d51ee711969883e995eebc07aae303a429cbb7ee3b61e21af,b77199e239adb21d51ee711969883e995eebc07aae303a429cbb7ee3b61e21af,unchanged
