figure_id,manuscript_role,submission_file,original_source_figure,source_data,script,caption_status,notes
Figure 1,main,manuscript/figures_publication/Fig1_architecture.pdf,manuscript/figures_publication/Fig1_architecture.png,manuscript/figures_publication/Fig1_architecture.png,scripts/final_submission/final_human_review_revision.py,current caption revised,Figure 1 replaced with user-supplied publication PNG and PDF wrapper; no numerical data values changed; caption retained.
Figure 2,main,manuscript/figures_publication/Fig2_baseline_traces.pdf,manuscript/figures/Fig2A_low_trace.svg; manuscript/figures/Fig2B_intermediate_trace.svg; manuscript/figures/Fig2C_high_trace.svg,results/phase02/Figure2_low_trace.csv; results/phase02/Figure2_intermediate_trace.csv; results/phase02/Figure2_high_trace.csv; results/phase02/Figure2_representative_summary.csv; results/revision_restart/phase1/phase1_baseline_target_residuals.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption revised,Baseline traces retained; caption adds divider-residual scope.
Figure 3,main,manuscript/figures_publication/Fig3_divider_residuals.pdf,manuscript/figures_publication/Fig3_divider_residuals.svg,results/revision_restart/phase1/phase1_divider_residual_rows.csv; results/revision_restart/phase7/phase7_divider_residual_figure_data.csv,scripts/revision_restart/phase7_generate_divider_residual_figure.py,current caption,New main divider-overlay and residual-domain figure.
Figure 4,main,manuscript/figures_publication/Fig3_load_normalization.pdf,manuscript/figures/Fig3A_fixed_load_somatic.svg; manuscript/figures/Fig3B_fixed_load_amplitude.svg; manuscript/figures/Fig3C_matched_neck_somatic.svg; manuscript/figures/Fig3D_matched_neck_amplitude.svg,results/phase02/Figure3_geometry_sweep.csv; results/phase02/Figure4_matched_neck_heterogeneous_load.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption revised,Former geometry/load-normalization control figure retained.
Figure 5,main,manuscript/figures_publication/Fig5_passive_limitations.pdf,manuscript/figures/Fig5A_passive_somatic.svg; manuscript/figures/Fig5B_dynamic_smi.svg,results/phase03/smi_challenge_suite.csv; results/revision_v2/r3/r3_predictor_comparison_intervals.csv; results/phase03/falsification_summary.csv; results/revision_restart/phase2/phase2_descriptor_recommendation_table.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption revised,Passive limitation figure reframed as descriptor-family evidence.
Figure 6,main,manuscript/figures_publication/Fig6_active_domain.pdf,manuscript/figures/Fig6A_active_local.svg; manuscript/figures/Fig6B_active_amplitude.svg,results/phase04/active_smi_challenge_suite.csv; results/phase04/active_falsification_summary.csv; results/revision_v2/r3/r3_predictor_comparison_intervals.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption revised,Active rows retained as generic stress-test boundaries.
Figure 7,main,manuscript/figures_publication/Fig7_uncertainty_radius.pdf,manuscript/figures/Fig7A_smi_convergence.svg; manuscript/figures/Fig7B_radius_flips.svg,results/phase05_1/progressive_uncertainty_summary.csv; results/phase05_1/progressive_convergence_deltas.csv; results/revision_v2/r3/r3_radius_uncertainty_summary.csv; results/revision_restart/phase3/phase3_high_smi_coverage_audit.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption revised,Uncertainty figure retained with design-fraction and high-rho_L coverage limitation.
Figure S1,supplement,manuscript/figures_publication/FigS1_fixed_load_heatmap.pdf,manuscript/supplement/figures/FigS1_fixed_load_heatmap.svg,results/phase02/Figure3_geometry_sweep.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption revised,Supplemental fixed-load heatmap.
Figure S2,supplement,manuscript/figures_publication/FigS2_dt_convergence.pdf,manuscript/supplement/figures/FigS2_dt_convergence.svg,results/phase02/convergence_dt_intermediate.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption retained,Supplemental timestep convergence figure.
Figure S3,supplement,manuscript/figures_publication/FigS3_spatial_convergence.pdf,manuscript/supplement/figures/FigS3_spatial_convergence.svg,results/phase03/spatial_convergence.csv,scripts/revision_v2/r4_generate_publication_figures.py,current caption retained,Supplemental spatial convergence figure.
