target,regime,best_scalar_descriptor,best_scalar_abs_spearman,SMI_abs_spearman,Gamma_divider_abs_spearman,component_pair_log10_cv_rmse,component_pair_log10_cv_r2,best_descriptive_model,best_descriptive_model_cv_rmse,interpretation
A_h_mV,active_nonlinear_challenge,Zin_Mohm,0.7124265342587042,0.23640435500065868,0.23640435500065868,7.129167917256004,0.5268225025862601,component_pair_log10_OLS,7.129167917256004,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,all_nonexploratory,synaptic_conductance_scale,0.9823958636710142,0.1429204022242558,0.14292065930290135,5.185597430411683,0.32137942871655245,synaptic_plus_components_OLS,0.7533529016395549,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,baseline_reference_targets,SMI,1.0,1.0,1.0,,,SMI_linear,3.8646449284612756,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,exploratory_matched_baseline_comparisons,log10_R_in_d_Mohm,0.70290272158224,0.35404396500732044,0.35404396500732044,8.967014741952648,0.7766148134545767,log10_R_in_d_linear,8.611788317091243,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,exploratory_mechanistic_decomposition,Zin_Mohm,0.48197897496024894,0.3546040716334876,0.3546040716334876,,,SMI_linear,2.239035466666877,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,exploratory_scenario_uncertainty,synaptic_conductance_scale,0.9888095697472508,0.3570326065984952,0.3570326065984952,2.7728100498799266,0.04306019089955593,synaptic_plus_components_OLS,0.17534546373348658,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,exploratory_scenarios,transfer_gain,0.8221451475649413,0.35404396500732044,0.35404396500732044,8.967014741952648,0.7766148134545767,log10_R_in_d_linear,8.611788317091243,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,fixed_load_geometry_sweep,SMI,0.9999999999999999,0.9999999999999999,0.9999999999999999,3.076115954972899,0.6053137040973078,SMI_linear,0.6622399665183284,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,global_uncertainty_N96,synaptic_conductance_scale,0.9833803570123958,0.09667946239167216,0.09667946239167216,4.858421604041488,-0.009870161823662071,synaptic_plus_components_OLS,0.6557212839613404,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,matched_neck_heterogeneous_load,SMI,1.0,1.0,1.0,0.0025468134172563378,0.9147252611184212,SMI_linear,0.000251277632989502,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,passive_morphology_challenge,Zin_Mohm,0.7756003065880958,0.04761950204731752,0.05742005428760636,1.55992069877992,0.942852255208167,component_pair_log10_OLS,1.55992069877992,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,progressive_uncertainty_N192,synaptic_conductance_scale,0.9798923898549449,0.16406909636768044,0.16406909636768044,4.913274467691638,0.031901293314233414,synaptic_plus_components_OLS,0.7899918706755888,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,progressive_uncertainty_N384,synaptic_conductance_scale,0.9828692875757745,0.12207146568959056,0.12207146568959056,4.861617212450507,0.002653951852637615,synaptic_plus_components_OLS,0.7074172073563593,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,progressive_uncertainty_N768,synaptic_conductance_scale,0.9823911334581594,0.21811936232185777,0.21811936232185777,4.878558226559695,0.04414592185022859,synaptic_plus_components_OLS,0.7783316685499689,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,progressive_uncertainty_N96,synaptic_conductance_scale,0.9829395176538929,0.06601738947180195,0.06601738947180195,5.010002337148553,0.015689882673261768,synaptic_plus_components_OLS,0.7553184982269915,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,spatial_convergence,SMI,1.0,1.0,1.0,,,log10_R_in_d_linear,0.0009380307781732456,Head amplitude requires conductance/load descriptors beyond the local ratio.
A_h_mV,timestep_convergence_intermediate,SMI,,,,,,Gamma_divider_linear,0.0007351362321460699,Head amplitude requires conductance/load descriptors beyond the local ratio.
Gamma_h_to_s,active_nonlinear_challenge,Zin_Mohm,0.7642191103949166,0.3393689551761646,0.3393689551761646,0.007201410370669681,0.7456864066743987,component_pair_log10_OLS,0.007201410370669681,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,all_nonexploratory,transfer_gain,0.6353300954850283,0.5525750255102276,0.5525751177613593,0.040713916549738195,0.5762073054359567,dynamic_plus_transfer_gain_OLS,0.006632842883479308,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,baseline_reference_targets,SMI,1.0,1.0,1.0,,,Gamma_divider_linear,0.10787289408784798,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,exploratory_matched_baseline_comparisons,log10_R_in_d_Mohm,0.41804581506800875,0.10065010086039172,0.10065010086039172,0.013870977459595342,0.005590758788394656,log10_R_in_d_linear,0.013330639402989126,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,exploratory_mechanistic_decomposition,SMI,0.627376434428478,0.627376434428478,0.627376434428478,,,Gamma_divider_linear,0.0016709078454461522,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,exploratory_scenario_uncertainty,SMI,0.8087336806225482,0.8087336806225482,0.8087336806225482,0.0016407936560067144,0.6473163749385064,synaptic_plus_components_OLS,0.0013884161518276043,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,exploratory_scenarios,Zin_Mohm,0.41804581506800875,0.10065010086039172,0.10065010086039172,0.013870977459595342,0.005590758788394656,log10_R_in_d_linear,0.013330639402989126,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,fixed_load_geometry_sweep,SMI,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.03416485248816954,0.8995740722928098,component_pair_log10_OLS,0.03416485248816954,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,global_uncertainty_N96,SMI,0.6640159792809716,0.6640159792809716,0.6640159792809716,0.007111266554196449,0.5791075982539542,dynamic_plus_transfer_gain_OLS,0.006636188888834124,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,matched_neck_heterogeneous_load,SMI,1.0,1.0,1.0,0.00025883445826421585,0.9996947586122471,log10_R_in_d_linear,0.0002588344582642117,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,passive_morphology_challenge,transfer_gain,0.8161232439547772,0.12101469786336654,0.13281127060415823,0.014027012471854138,0.5675267453399,component_pair_log10_OLS,0.014027012471854138,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,progressive_uncertainty_N192,SMI,0.6595159660844387,0.6595159660844387,0.6595159660844387,0.008007530311017285,0.5506397464762929,dynamic_plus_transfer_gain_OLS,0.006838762353970731,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,progressive_uncertainty_N384,SMI,0.632653533740643,0.632653533740643,0.632653533740643,0.007888733399389919,0.49498083687970607,dynamic_plus_transfer_gain_OLS,0.006697326932225915,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,progressive_uncertainty_N768,transfer_gain,0.639887706319839,0.6392001130318482,0.6392001130318482,0.00778831560236214,0.514441779400852,dynamic_plus_transfer_gain_OLS,0.0065272639893214825,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,progressive_uncertainty_N96,SMI,0.619948998790625,0.619948998790625,0.619948998790625,0.007652669044698034,0.5155362038165046,dynamic_plus_transfer_gain_OLS,0.006924829445849268,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,spatial_convergence,SMI,1.0,1.0,1.0,,,SMI_linear,0.0001137930709097275,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
Gamma_h_to_s,timestep_convergence_intermediate,SMI,,,,,,SMI_linear,0.0001607230857051333,Somatic transfer depends on downstream filtering; local ratio alone is not sufficient.
absolute_residual,active_nonlinear_challenge,Zin_Mohm,0.7653922151771637,0.5044673658024068,0.5044673658024068,0.03306330881838343,0.4968703374993517,impedance_pair_OLS,0.025403165971724897,"Residual departures are not a raw-ratio discovery target; compare components, conductance, and impedance descriptors."
absolute_residual,all_nonexploratory,dynamic_SMI_abs,0.853168249141717,0.7045260130400622,0.7045246675524733,0.05260364733912803,0.4868494831571796,synaptic_plus_components_OLS,0.007012438885717424,"Residual departures are not a raw-ratio discovery target; compare components, conductance, and impedance descriptors."
absolute_residual,baseline_reference_targets,SMI,1.0,1.0,1.0,,,log10_R_neck_linear,0.04518773148581091,"Residual departures are not a raw-ratio discovery target; compare components, conductance, and impedance descriptors."
